Step;Precision;Recall;
0,01;0,4939;0,56667;
0,02;0,4939;0,56667;
0,03;0,4939;0,56667;
0,04;0,51188;0,4;
0,05;0,51188;0,4;
0,06;0,63452;0,30556;
0,07;0,69852;0,28583;
0,08;0,69852;0,28583;
0,09;0,72617;0,3125;
0,10;0,69117;0,3;
0,11;0,71667;0,32764;
0,12;0,71667;0,32764;
0,13;0,73434;0,33653;
0,14;0,73486;0,34278;
0,15;0,73486;0,34278;
0,16;0,71209;0,34722;
0,17;0,71315;0,35611;
0,18;0,77754;0,339;
0,19;0,76836;0,35012;
0,20;0,72051;0,36687;
0,21;0,78411;0,37956;
0,22;0,78411;0,37956;
0,23;0,81693;0,35553;
0,24;0,7682;0,32544;
0,25;0,85146;0,33512;
0,26;0,82607;0,39734;
0,27;0,8275;0,40845;
0,28;0,84507;0,37738;
0,29;0,85335;0,35722;
0,30;0,85335;0,35722;
0,31;0,85579;0,36648;
0,32;0,85421;0,36648;
0,33;0,8939;0,36648;
0,34;0,90167;0,3424;
0,35;0,91071;0,34538;
0,36;0,91565;0,3237;
0,37;0,91565;0,3237;
0,38;0,91565;0,3237;
0,39;0,92921;0,36878;
0,40;0,92921;0,36878;
0,41;0,92332;0,34573;
0,42;0,92609;0,34712;
0,43;0,92688;0,3267;
0,44;0,953;0,34325;
0,45;0,9555;0,34456;
0,46;0,94536;0,29332;
0,47;0,94909;0,29287;
0,48;0,92864;0,28193;
0,49;0,93884;0,29134;
0,50;0,93884;0,29134;
0,51;0,96025;0,28427;
0,52;0,96806;0,29248;
0,53;0,95837;0,26908;
0,54;0,9717;0,28908;
0,55;0,9717;0,28908;
0,56;0,97261;0,26767;
0,57;0,98143;0,27178;
0,58;0,98209;0,26207;
0,59;0,98448;0,25796;
0,60;0,98448;0,25796;
0,61;0,98879;0,289;
0,62;0,98879;0,289;
0,63;0,98879;0,289;
0,64;0,98857;0,27937;
0,65;0,98894;0,27035;
0,66;0,98599;0,2465;
0,67;0,98599;0,2465;
0,68;0,98599;0,2465;
0,69;0,98677;0,2328;
0,70;0,98677;0,2328;
0,71;0,99603;0,24206;
0,72;0,99603;0,24206;
0,73;0,99615;0,21786;
0,74;0,99625;0,21254;
0,75;0,99625;0,21254;
0,76;0,99784;0,21088;
0,77;0,99789;0,20598;
0,78;0,99798;0,19683;
0,79;0,99798;0,19683;
0,80;0,99802;0,19255;
0,81;0,99807;0,18845;
0,82;1;0,19149;
0,83;1;0,1875;
0,84;1;0,1875;
0,85;1;0,18367;
0,86;1;0,18367;
0,87;1;0,16667;
0,88;1;0,16667;
0,89;1;0,16071;
0,90;1;0,15789;
0,91;1;0,15254;
0,92;1;0,15254;
0,93;1;0,15;
0,94;1;0,15;
0,95;1;0,14062;
0,96;1;0,13846;
0,97;1;0,13433;
0,98;1;0,12857;
0,99;1;0,12857;
1,00;1;0,12857;
